atoll,isl_type,island,2014Male,2014Female,2015Male,2015Female,2016Male,2016Female,2017Male,2017Female,2018Male,2018Female,2019Male,2019Female,2020Male,2020Female,2021Male,2021Female,2022Male,2022Female,2023Male,2023Female,2024Male,2024Female,2025Male,2025Female,2026Male,2026Female,2027Male,2027Female,2028Male,2028Female,2029Male,2029Female,2030Male,2030Female,2031Male,2031Female,2032Male,2032Female,2033Male,2033Female,2034Male,2034Female,2035Male,2035Female,2036Male,2036Female,2037Male,2037Female,2038Male,2038Female,2039Male,2039Female,2040Male,2040Female,2041Male,2041Female,2042Male,2042Female,2043Male,2043Female,2044Male,2044Female,2045Male,2045Female,2046Male,2046Female,2047Male,2047Female,2048Male,2048Female,2049Male,2049Female,2050Male,2050Female,2051Male,2051Female,2052Male,2052Female,2053Male,2053Female,2054Male,2054Female
Male',admin,Henveiru,13250.0,13352.0,13723.0,13818.0,14210.0,14300.0,14711.0,14794.0,15225.0,15300.0,15749.0,15816.0,16282.0,16340.0,16823.0,16872.0,17369.0,17410.0,17919.0,17951.0,18470.0,18495.0,19022.0,19039.0,19572.0,19582.0,20122.0,20127.0,20671.0,20670.0,21220.0,21215.0,21769.0,21759.0,22317.0,22304.0,22864.0,22850.0,23415.0,23398.0,23967.0,23951.0,24524.0,24507.0,25085.0,25068.0,25650.0,25633.0,26220.0,26202.0,26796.0,26777.0,27379.0,27359.0,27970.0,27946.0,28567.0,28541.0,29173.0,29143.0,29786.0,29755.0,30409.0,30374.0,31039.0,31001.0,31679.0,31637.0,32327.0,32280.0,32982.0,32932.0,33644.0,33590.0,34313.0,34255.0,34988.0,34926.0,35670.0,35601.0,36356.0,36282.0
Male',admin,Galolhu,11143.0,11228.0,11541.0,11621.0,11950.0,12025.0,12371.0,12441.0,12803.0,12866.0,13244.0,13301.0,13692.0,13741.0,14147.0,14189.0,14606.0,14641.0,15069.0,15096.0,15533.0,15553.0,15997.0,16011.0,16459.0,16468.0,16922.0,16926.0,17383.0,17383.0,17845.0,17841.0,18307.0,18298.0,18767.0,18757.0,19228.0,19216.0,19691.0,19677.0,20156.0,20141.0,20624.0,20609.0,21095.0,21081.0,21571.0,21556.0,22050.0,22035.0,22534.0,22518.0,23025.0,23007.0,23522.0,23501.0,24024.0,24001.0,24533.0,24508.0,25049.0,25022.0,25573.0,25543.0,26102.0,26070.0,26640.0,26605.0,27185.0,27146.0,27736.0,27694.0,28293.0,28248.0,28855.0,28807.0,29423.0,29371.0,29996.0,29939.0,30574.0,30512.0
Male',admin,Machchangolhi,11071.0,11156.0,11466.0,11546.0,11873.0,11948.0,12291.0,12361.0,12721.0,12783.0,13159.0,13215.0,13604.0,13653.0,14056.0,14097.0,14512.0,14547.0,14971.0,14999.0,15432.0,15453.0,15893.0,15908.0,16353.0,16362.0,16813.0,16817.0,17271.0,17271.0,17730.0,17726.0,18188.0,18180.0,18646.0,18636.0,19104.0,19092.0,19563.0,19550.0,20025.0,20011.0,20491.0,20476.0,20959.0,20945.0,21431.0,21417.0,21908.0,21893.0,22389.0,22373.0,22876.0,22859.0,23370.0,23350.0,23869.0,23847.0,24375.0,24350.0,24887.0,24861.0,25408.0,25378.0,25934.0,25902.0,26469.0,26433.0,27010.0,26971.0,27557.0,27515.0,28110.0,28066.0,28669.0,28621.0,29234.0,29182.0,29803.0,29745.0,30377.0,30315.0
Male',admin,Maafannu,17742.0,17878.0,18376.0,18503.0,19027.0,19147.0,19698.0,19810.0,20386.0,20487.0,21088.0,21178.0,21802.0,21879.0,22525.0,22592.0,23257.0,23312.0,23993.0,24037.0,24732.0,24765.0,25471.0,25494.0,26207.0,26221.0,26944.0,26950.0,27678.0,27677.0,28413.0,28407.0,29148.0,29135.0,29882.0,29865.0,30615.0,30596.0,31352.0,31330.0,32092.0,32070.0,32838.0,32815.0,33589.0,33566.0,34345.0,34323.0,35109.0,35085.0,35880.0,35855.0,36661.0,36633.0,37452.0,37420.0,38251.0,38216.0,39062.0,39023.0,39883.0,39841.0,40718.0,40671.0,41561.0,41510.0,42418.0,42361.0,43286.0,43223.0,44163.0,44096.0,45049.0,44977.0,45945.0,45867.0,46849.0,46766.0,47761.0,47669.0,48681.0,48582.0
Male',admin,Villigili,3711.0,3739.0,3844.0,3870.0,3980.0,4005.0,4120.0,4144.0,4264.0,4285.0,4411.0,4430.0,4560.0,4576.0,4712.0,4725.0,4865.0,4876.0,5019.0,5028.0,5173.0,5180.0,5328.0,5333.0,5482.0,5485.0,5636.0,5637.0,5789.0,5789.0,5943.0,5942.0,6097.0,6094.0,6250.0,6247.0,6404.0,6400.0,6558.0,6553.0,6713.0,6708.0,6869.0,6864.0,7026.0,7021.0,7184.0,7179.0,7344.0,7339.0,7505.0,7500.0,7668.0,7663.0,7834.0,7827.0,8001.0,7994.0,8171.0,8162.0,8342.0,8334.0,8517.0,8507.0,8693.0,8683.0,8873.0,8861.0,9054.0,9041.0,9237.0,9223.0,9423.0,9408.0,9610.0,9594.0,9799.0,9782.0,9990.0,9971.0,10183.0,10162.0
Male',admin,HulhuMale',7344.0,7400.0,7606.0,7659.0,7876.0,7925.0,8153.0,8200.0,8438.0,8480.0,8729.0,8766.0,9024.0,9056.0,9324.0,9351.0,9626.0,9649.0,9931.0,9949.0,10237.0,10251.0,10543.0,10552.0,10848.0,10853.0,11152.0,11155.0,11457.0,11456.0,11761.0,11758.0,12065.0,12060.0,12369.0,12362.0,12672.0,12664.0,12977.0,12968.0,13284.0,13274.0,13592.0,13583.0,13903.0,13894.0,14216.0,14207.0,14532.0,14522.0,14851.0,14841.0,15175.0,15163.0,15502.0,15489.0,15833.0,15818.0,16169.0,16152.0,16508.0,16491.0,16854.0,16834.0,17203.0,17182.0,17558.0,17534.0,17917.0,17891.0,18280.0,18252.0,18647.0,18617.0,19017.0,18985.0,19392.0,19357.0,19769.0,19731.0,20150.0,20109.0
